,Unnamed: 0,DOI
0,0,10.3389/fnins.2023.1163600
1,1,10.3390/ijms24119643
2,2,10.1038/s41467-023-38582-7
3,3,10.1113/jp282626
4,4,10.1007/s00429-022-02598-4
5,5,10.1007/s00429-023-02619-w
6,6,10.1002/hbm.25696
7,7,10.3389/fncir.2023.1155195
8,8,10.1101/2023.01.12.523844
9,9,10.1007/s00429-022-02463-4
10,10,10.1007/s00429-022-02586-8
11,11,10.3389/fnana.2023.1108363
12,12,10.1126/sciadv.abl5547
13,13,10.3389/fnins.2023.1136500
14,14,10.3389/fnins.2022.818800
15,15,10.1523/jneurosci.1535-22.2022
16,16,10.1523/jneurosci.0071-22.2022
17,17,10.1093/cercor/bhac337
18,18,10.1038/s41531-023-00493-1
19,19,10.1073/pnas.2123417119
20,20,10.3390/brainsci12020242
21,21,10.3389/fninf.2023.1170337
22,22,10.1002/cne.25193
23,23,10.1007/s00429-021-02284-x
24,24,10.1162/netn_a_00304
25,25,10.1007/s00429-023-02656-5
26,26,10.7554/elife.60824
27,27,10.1093/cercor/bhac328
28,28,10.3390/ijms24043207
29,29,10.1101/2023.04.08.536134
30,30,10.1038/s41467-022-29433-y
31,31,10.1371/journal.pcbi.1008414
32,32,10.3390/vetsci9100516
33,33,10.1016/j.neuron.2021.03.009
34,34,10.31083/j.jin.2021.01.334
35,35,10.3389/fnins.2023.1138602
36,36,10.1038/s41467-022-30348-x
37,37,10.1093/cercor/bhad036
38,38,10.1016/j.neurobiolaging.2023.02.002
39,39,10.3389/fmedt.2022.856412
40,40,10.1016/j.neubiorev.2021.06.042
41,41,10.3389/fncir.2021.815554
42,42,10.3389/fnins.2022.812837
43,43,10.1002/cne.25490
44,44,10.1038/s41586-023-05964-2
45,45,10.3389/fnins.2022.1010211
46,46,10.1073/pnas.2205881119
47,47,10.1016/j.conb.2020.08.002
48,48,10.1007/s00702-021-02299-y
49,49,10.1007/s11064-023-03909-9
50,50,10.3389/fncir.2021.721186
51,51,10.1523/jneurosci.1724-21.2021
52,52,10.1152/jn.00058.2022
53,53,10.1038/s41467-019-13173-7
54,54,10.3389/fnsys.2023.1169918
55,55,10.1016/j.isci.2023.106784
56,56,10.1038/s41586-021-03953-x
57,57,10.1093/brain/awac428
58,58,10.1016/j.crneur.2023.100090
59,59,10.3390/brainsci13010060
60,60,10.1093/cercor/bhab073
61,61,10.1371/journal.pcbi.1010294
62,62,10.1103/physreve.106.054304
63,63,10.1177/17562864231160873
64,64,10.3390/ijms24109083
65,65,10.3389/fpsyt.2022.909961
66,66,10.3389/fnhum.2022.872639
67,67,10.24272/j.issn.2095-8137.2022.138
68,68,10.1007/s00210-023-02458-w
69,69,10.7554/elife.72534
70,70,10.3389/fnmol.2019.00167
71,71,10.1016/j.medj.2022.11.002
72,72,10.3389/fneur.2023.1159242
73,73,10.7759/cureus.35772
74,74,10.3389/fnsys.2022.921468
75,75,10.1101/2022.11.14.516257
76,76,10.1021/jasms.2c00336
77,77,10.7554/elife.81217
78,78,10.3389/fnsys.2022.1044686
79,79,10.1038/s41467-023-37246-w
80,80,10.1073/pnas.2117137119
81,81,10.7554/elife.77690
82,82,10.1093/cercor/bhad159
83,83,10.1038/s41598-021-85409-w
84,84,10.1016/j.nbd.2022.105814
85,85,10.1038/s41398-023-02392-8
86,86,10.3389/fncir.2021.632668
87,87,10.1038/s41467-023-39411-7
88,88,10.3389/fopht.2022.989002
89,89,10.1007/s00429-020-02086-7
90,90,10.1007/s11065-019-09421-8
91,91,10.1073/pnas.2210967120
92,92,10.3389/fninf.2023.1104508
93,93,10.1073/pnas.2206559119
94,94,10.1073/pnas.2114985119
95,95,10.3389/fnins.2022.1076374
96,96,10.1016/j.crneur.2023.100086
97,97,10.1162/jocn_a_01869
98,98,10.1002/nbm.4750
99,99,10.1126/sciadv.abg4246
100,100,10.1371/journal.ppat.1009946
101,101,10.1002/mds.27921
102,102,10.1093/cercor/bhab387
103,103,10.1523/jneurosci.0364-20.2020
104,104,10.1111/ejn.15443
105,105,10.3390/v13071387
106,106,10.1002/ejp.1996
107,107,10.3389/fnins.2022.964310
108,108,10.3389/fncir.2023.1120410
109,109,10.1073/pnas.2025061118
110,110,10.1093/cercor/bhaa168
111,111,10.1172/jci.insight.152013
112,112,10.1016/j.pneurobio.2021.102008
113,113,10.3389/fnana.2023.1069210
114,114,10.1016/j.brs.2022.12.003
115,115,10.3390/jcm12041272
116,116,10.7554/elife.64875
117,117,10.7554/elife.76334
118,118,10.1146/annurev-neuro-100520-012117
119,119,10.3389/fnins.2022.998932
120,120,10.1038/s42003-022-04039-8
121,121,10.3389/fnins.2022.917407
