INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
0	2.0	0.0	0.0	18.0	12.0	0.0	0.0	0.0
1	5.0	7.0	0.0	31.0	2.0	0.0	0.0	0.0
2	4.0	0.0	1.0	20.0	0.0	2.0	10.0	9.0
4	4.0	1.0	0.0	30.0	11.0	0.0	8.0	14.0
5	6.0	12.0	0.0	23.0	0.0	0.0	8.0	2.0
6	NA	NA	NA	NA	NA	NA	NA	NA
7	6	0	6	12	14	6	2	14
8	2	0	2	20	1	7	2	15
9	2	0	1	16	3	1	0	8
10	14	0	0	20	0	0	0	6
11	5	0	10	36	13	0	6	33
12	3	0	0	15	6	1	4	18
13	6	0	0	15	23	10	21	20
14	4	0	0	31	0	4	0	0
15	4	0	4	18	6	0	0	18
16	6	0	0	21	4	0	2	26
17	5	0	3	29	10	3	5	10
18	3	0	0	17	0	0	1	11
19	6	0	0	14	0	0	0	0
20	2	0	6	19	8	4	12	13
21	2	3	0	7	0	0	0	0
22	4	0	0	13	4	0	0	0
23	4	0	2	26	4	9	9	17
24	4	0	0	22	2	0	4	19
25	10	0	0	26	0	0	0	6
26	2	2	0	21	19	0	3	20
27	6	0	3	9	3	6	6	15
28	3	0	1	29	4	3	11	23
29	4	0	2	19	17	8	8	19
30	2	0	1	23	7	4	13	3
31	4	0	0	14	10	0	0	7
32	4	5	0	27	6	0	4	6
33	2	0	1	41	12	1	8	9
34	2	0	2	13	5	2	3	16
35	4	0	0	22	0	9	12	20
36	NA	NA	NA	NA	NA	NA	NA	NA
37	2	0	0	12	9	0	4	24
38	6	0	0	15	4	0	10	18
39	8	0	2	23	20	4	12	17
40	4	0	0	32	6	6	4	16
41	4	0	4	26	21	0	4	28
42	2	2	12	45	12	1	11	15
43	4	0	2	8	8	2	2	21
44	2	0	2	26	6	0	6	22
45	5	7	0	31	1	6	16	12
46	6	0	0	15	0	0	2	13
47	4	0	4	27	13	0	0	24
48	2	0	6	9	5	2	4	2
49	4	0	0	4	8	2	4	6
50	4	0	5	33	7	0	0	31
51	NA	NA	NA	NA	NA	NA	NA	NA
52	4	0	0	6	0	0	0	0
53	3	0	6	30	16	6	9	19
54	4	2	0	8	5	6	14	18
55	2	0	0	28	24	0	8	32
56	4	0	6	14	6	0	0	14
57	6	0	2	17	0	13	20	14
58	2	2	0	26	2	2	6	15
59	7	0	1	17	0	0	0	7
60	3	0	0	29	0	0	0	0
61	6	11	0	14	0	0	4	24
62	6	0	0	30	18	0	6	22
63	4	0	0	9	0	2	4	6
64	1	0	0	3	1	3	9	0
65	8	0	0	11	3	0	9	6
66	4	0	0	16	0	2	12	20
67	9	0	2	17	6	0	9	22
68	4	0	0	12	4	0	0	20
69	12	20	0	29	0	0	0	0
71	5	2	0	43	6	8	6	7
72	8	0	0	35	8	0	0	8
73	6	2	4	21	0	0	0	20
74	2	2	2	31	4	0	0	10
75	2	0	0	30	7	0	0	4
76	4	0	9	33	5	2	6	15
77	8	0	0	18	20	0	8	17
78	4	0	0	21	0	6	4	17
79	4	0	2	10	10	0	2	18
80	8	4	0	34	0	2	8	11
81	6	0	6	22	18	0	6	4
82	3	0	4	29	24	2	4	15
83	6	0	0	18	2	12	27	15
84	NA	NA	NA	NA	NA	NA	NA	NA
85	7	0	0	8	2	0	7	10
86	2	0	0	13	8	0	2	11
87	4	0	0	18	11	0	4	16
88	6	0	0	14	10	6	14	6
89	4	0	6	29	0	4	39	11
90	2	0	2	16	9	2	6	17
91	9	0	0	36	5	6	9	20
92	2	0	2	19	14	4	20	21
93	3	0	0	36	0	0	0	0
94	0	0	0	26	2	0	0	3
95	4	0	2	20	6	6	6	18
96	4	0	5	58	2	2	8	8
97	4	4	13	17	8	0	0	12
98	4	0	4	22	1	0	0	29
99	4	0	0	12	6	5	18	17
100	3	0	4	15	11	0	8	25
101	10	0	0	54	0	4	25	18
103	3	0	5	13	6	2	3	17
104	NA	NA	NA	NA	NA	NA	NA	NA
105	4	0	2	11	5	4	4	25
106	4	1	0	11	0	2	18	15
107	2	0	0	32	0	4	4	6
108	6	0	0	22	10	0	0	3
109	3	0	0	8	17	0	0	26
110	2	2	3	37	0	0	0	4
111	4	1	0	19	0	0	0	5
