INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	NOT_TT	NOT_MACAQUE_BUT_OTHERS
0	2.0	0.0	0.0	18.0	12.0	0.0	0.0	0.0	Y	
1	5.0	7.0	0.0	31.0	2.0	0.0	0.0	0.0		
2	4.0	0.0	1.0	20.0	0.0	2.0	10.0	9.0		
4	4.0	1.0	0.0	30.0	11.0	0.0	8.0	14.0		
5	6.0	12.0	0.0	23.0	0.0	0.0	8.0	2.0		
6									Y	
7	6.0	0.0	6.0	12.0	14.0	6.0	2.0	14.0		
8	2.0	0.0	2.0	20.0	1.0	7.0	2.0	15.0		
9	2.0	0.0	1.0	16.0	3.0	1.0	0.0	8.0		
10	14.0	0.0	0.0	20.0	0.0	0.0	0.0	6.0	Y	
11	5.0	0.0	10.0	36.0	13.0	0.0	6.0	33.0		
12	3.0	0.0	0.0	15.0	6.0	1.0	4.0	18.0		
13	6.0	0.0	0.0	15.0	23.0	10.0	21.0	20.0		
14	4.0	0.0	0.0	31.0	0.0	4.0	0.0	0.0		
15	4.0	0.0	4.0	18.0	6.0	0.0	0.0	18.0		
16	6.0	0.0	0.0	21.0	4.0	0.0	2.0	26.0		
17	5.0	0.0	3.0	29.0	10.0	3.0	5.0	10.0		
18	3.0	0.0	0.0	17.0	0.0	0.0	1.0	11.0		
19	6.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	Y	
20	2.0	0.0	6.0	19.0	8.0	4.0	12.0	13.0		
21	2.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	Y	
22	4.0	0.0	0.0	13.0	4.0	0.0	0.0	0.0		
23	4.0	0.0	2.0	26.0	4.0	9.0	9.0	17.0		
24	4.0	0.0	0.0	22.0	2.0	0.0	4.0	19.0		
25	10.0	0.0	0.0	26.0	0.0	0.0	0.0	6.0	Y	
26	2.0	2.0	0.0	21.0	19.0	0.0	3.0	20.0		
27	6.0	0.0	3.0	9.0	3.0	6.0	6.0	15.0		
28	3.0	0.0	1.0	29.0	4.0	3.0	11.0	23.0		
29	4.0	0.0	2.0	19.0	17.0	8.0	8.0	19.0		
30	2.0	0.0	1.0	23.0	7.0	4.0	13.0	3.0		
31	4.0	0.0	0.0	14.0	10.0	0.0	0.0	7.0	Y	
32	4.0	5.0	0.0	27.0	6.0	0.0	4.0	6.0		
33	2.0	0.0	1.0	41.0	12.0	1.0	8.0	9.0		
34	2.0	0.0	2.0	13.0	5.0	2.0	3.0	16.0		
35	4.0	0.0	0.0	22.0	0.0	9.0	12.0	20.0		
36										
37	2.0	0.0	0.0	12.0	9.0	0.0	4.0	24.0		
38	6.0	0.0	0.0	15.0	4.0	0.0	10.0	18.0		
39	8.0	0.0	2.0	23.0	20.0	4.0	12.0	17.0		
40	4.0	0.0	0.0	32.0	6.0	6.0	4.0	16.0		
41	4.0	0.0	4.0	26.0	21.0	0.0	4.0	28.0		
42	2.0	2.0	12.0	45.0	12.0	1.0	11.0	15.0		
43	4.0	0.0	2.0	8.0	8.0	2.0	2.0	21.0		
44	2.0	0.0	2.0	26.0	6.0	0.0	6.0	22.0		
45	5.0	7.0	0.0	31.0	1.0	6.0	16.0	12.0		
46	6.0	0.0	0.0	15.0	0.0	0.0	2.0	13.0	Y	
47	4.0	0.0	4.0	27.0	13.0	0.0	0.0	24.0		
48	2.0	0.0	6.0	9.0	5.0	2.0	4.0	2.0		
49	4.0	0.0	0.0	4.0	8.0	2.0	4.0	6.0		
50	4.0	0.0	5.0	33.0	7.0	0.0	0.0	31.0		
51										
52	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0		
53	3.0	0.0	6.0	30.0	16.0	6.0	9.0	19.0		
54	4.0	2.0	0.0	8.0	5.0	6.0	14.0	18.0		
55	2.0	0.0	0.0	28.0	24.0	0.0	8.0	32.0		
56	4.0	0.0	6.0	14.0	6.0	0.0	0.0	14.0		
57	6.0	0.0	2.0	17.0	0.0	13.0	20.0	14.0		
58	2.0	2.0	0.0	26.0	2.0	2.0	6.0	15.0		
59	7.0	0.0	1.0	17.0	0.0	0.0	0.0	7.0		
60	3.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0		
61	6.0	11.0	0.0	14.0	0.0	0.0	4.0	24.0		
62	6.0	0.0	0.0	30.0	18.0	0.0	6.0	22.0		
63	4.0	0.0	0.0	9.0	0.0	2.0	4.0	6.0		
64	1.0	0.0	0.0	3.0	1.0	3.0	9.0	0.0		
65	8.0	0.0	0.0	11.0	3.0	0.0	9.0	6.0		
66	4.0	0.0	0.0	16.0	0.0	2.0	12.0	20.0		
67	9.0	0.0	2.0	17.0	6.0	0.0	9.0	22.0		
68	4.0	0.0	0.0	12.0	4.0	0.0	0.0	20.0		
69	12.0	20.0	0.0	29.0	0.0	0.0	0.0	0.0		
71	5.0	2.0	0.0	43.0	6.0	8.0	6.0	7.0		
72	8.0	0.0	0.0	35.0	8.0	0.0	0.0	8.0	Y	
73	6.0	2.0	4.0	21.0	0.0	0.0	0.0	20.0		
74	2.0	2.0	2.0	31.0	4.0	0.0	0.0	10.0		
75	2.0	0.0	0.0	30.0	7.0	0.0	0.0	4.0		
76	4.0	0.0	9.0	33.0	5.0	2.0	6.0	15.0		
77	8.0	0.0	0.0	18.0	20.0	0.0	8.0	17.0		
78	4.0	0.0	0.0	21.0	0.0	6.0	4.0	17.0		
79	4.0	0.0	2.0	10.0	10.0	0.0	2.0	18.0		
80	8.0	4.0	0.0	34.0	0.0	2.0	8.0	11.0		
81	6.0	0.0	6.0	22.0	18.0	0.0	6.0	4.0		
