INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
120	8.0	6.0	21.0	31.0	8.0	0.0	19.0	15.0			304.91921280339574
321	3.0	0.0	14.0	28.0	7.0	3.0	16.0	15.0			293.9201143021889
329	2.0	0.0	8.0	35.0	24.0	4.0	12.0	25.0			286.2139819890119
142	12.0	0.0	8.0	18.0	0.0	7.0	41.0	26.0			284.1425327110096
277	3.0	0.0	7.0	25.0	21.0	11.0	7.0	30.0			277.39732085805053
42	2.0	4.0	12.0	31.0	11.0	2.0	6.0	17.0			276.2374592622076
11	5.0	0.0	10.0	36.0	13.0	0.0	6.0	33.0			272.79510020424834
53	3.0	0.0	6.0	36.0	14.0	6.0	9.0	17.0			271.4826720538541
1001	0.0	0.0	10.0	42.0	16.0	14.0	4.0	4.0			271.4283303464296
126	14.0	0.0	10.0	20.0	12.0	2.0	6.0	19.0			268.5259675058898
89	4.0	0.0	6.0	28.0	0.0	4.0	38.0	11.0			265.96286158821056
76	4.0	0.0	9.0	33.0	5.0	2.0	6.0	15.0			265.16906608838525
191	0.0	2.0	8.0	32.0	11.0	5.0	9.0	11.0			265.031642964122
1075	3.0	3.0	8.0	26.0	11.0	0.0	15.0	23.0			263.0102789351726
904	0.0	20.0	9.0	29.0	8.0	6.0	6.0	12.0			262.416708448995
96	7.0	0.0	7.0	25.0	3.0	3.0	12.0	13.0			260.68651190100366
923	0.0	3.0	6.0	27.0	9.0	5.0	22.0	9.0			260.6303030427211
2459	5.0	0.0	10.0	26.0	0.0	8.0	4.0	14.0			260.4648463790791
416	0.0	0.0	18.0	22.0	10.0	0.0	3.0	22.0			260.3037485049681
151	4.0	6.0	11.0	19.0	9.0	2.0	6.0	11.0			258.8735294779013
194	4.0	9.0	14.0	14.0	19.0	0.0	9.0	10.0			257.5668431244785
242	3.0	0.0	8.0	26.0	13.0	5.0	3.0	11.0			253.97273980419163
182	8.0	0.0	8.0	12.0	25.0	4.0	4.0	29.0			253.53724423424975
531	2.0	0.0	8.0	29.0	8.0	0.0	8.0	17.0			251.26018820402928
20	2.0	0.0	6.0	19.0	8.0	4.0	12.0	13.0			250.16808991350055
636	2.0	0.0	6.0	27.0	9.0	2.0	16.0	5.0			249.54942336470828
232	2.0	0.0	6.0	30.0	8.0	2.0	4.0	29.0			249.30493579417697
82	3.0	0.0	5.0	28.0	19.0	3.0	6.0	16.0			249.14663697974424
2418	2.0	0.0	8.0	30.0	7.0	1.0	5.0	12.0			249.0862897759528
901	4.0	0.0	14.0	31.0	10.0	2.0	0.0	8.0			247.96044020028725
374	2.0	0.0	6.0	26.0	7.0	10.0	3.0	12.0			246.54545848345796
2567	0.0	0.0	7.0	15.0	6.0	5.0	14.0	12.0			246.4097717518936
438	0.0	0.0	17.0	38.0	15.0	0.0	0.0	11.0			245.91592157816663
380	0.0	0.0	3.0	39.0	9.0	6.0	33.0	3.0			245.4041392336088
867	0.0	0.0	18.0	39.0	13.0	0.0	0.0	8.0			245.1670779409445
