INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
120	8.0	6.0	21.0	31.0	8.0	0.0	19.0	15.0			304.91921280339574
321	3.0	0.0	17.0	31.0	7.0	3.0	17.0	15.0			304.53135460187764
329	2.0	0.0	9.0	39.0	25.0	4.0	12.0	24.0			292.86631194100426
42	2.0	2.0	12.0	45.0	12.0	1.0	11.0	15.0			288.5627762161544
142	12.0	0.0	8.0	21.0	0.0	6.0	37.0	26.0			284.9710537612066
1075	6.0	6.0	10.0	31.0	9.0	0.0	18.0	22.0			279.3232115389629
277	3.0	0.0	7.0	25.0	21.0	11.0	7.0	30.0			277.39732085805053
1001	0.0	0.0	10.0	44.0	16.0	14.0	5.0	4.0			275.2997130502579
2459	4.0	0.0	13.0	29.0	0.0	8.0	4.0	17.0			273.6569493271701
11	5.0	0.0	10.0	36.0	13.0	0.0	6.0	33.0			272.79510020424834
53	3.0	0.0	6.0	30.0	16.0	6.0	9.0	19.0			268.73882522122545
126	14.0	0.0	10.0	20.0	12.0	2.0	6.0	19.0			268.5259675058898
242	3.0	0.0	10.0	28.0	11.0	4.0	5.0	11.0			267.27404937677795
89	4.0	0.0	6.0	29.0	0.0	4.0	39.0	11.0			267.19016749986696
917	1.0	12.0	6.0	39.0	2.0	6.0	12.0	18.0			266.39492130534177
904	0.0	22.0	10.0	29.0	8.0	6.0	6.0	12.0			266.229115641168
76	4.0	0.0	9.0	33.0	5.0	2.0	6.0	15.0			265.16906608838525
191	0.0	2.0	8.0	32.0	11.0	5.0	9.0	11.0			265.031642964122
923	0.0	3.0	6.0	31.0	8.0	5.0	24.0	9.0			264.6925094141308
1134	0.0	10.0	8.0	20.0	13.0	5.0	11.0	21.0			263.2989496572944
531	2.0	0.0	10.0	29.0	8.0	0.0	10.0	18.0			262.8377486671503
975	2.0	10.0	15.0	23.0	18.0	0.0	6.0	8.0			261.7310489966545
416	0.0	4.0	16.0	22.0	18.0	0.0	4.0	20.0			261.0248771200553
151	4.0	6.0	11.0	19.0	9.0	2.0	6.0	11.0			258.8735294779013
194	3.0	9.0	12.0	15.0	18.0	0.0	15.0	9.0			258.1810408194248
147	2.0	0.0	4.0	29.0	5.0	8.0	16.0	18.0			257.77414555426856
945	2.0	10.0	6.0	29.0	21.0	4.0	4.0	21.0			254.9609865583342
903	4.0	0.0	6.0	26.0	6.0	2.0	19.0	7.0			254.72559032655712
182	8.0	0.0	8.0	12.0	25.0	4.0	4.0	29.0			253.53724423424975
96	4.0	0.0	5.0	58.0	2.0	2.0	8.0	8.0			253.0658031923628
952	3.0	0.0	9.0	37.0	6.0	0.0	3.0	24.0			252.68725392927783
2567	0.0	0.0	7.0	16.0	10.0	5.0	15.0	13.0			251.89447045462052
232	3.0	0.0	6.0	32.0	7.0	2.0	4.0	29.0			251.7174399026873
910	2.0	9.0	6.0	52.0	10.0	0.0	5.0	19.0			251.4099563823087
143	9.0	0.0	5.0	21.0	29.0	0.0	16.0	21.0			250.87397717078747
20	2.0	0.0	6.0	19.0	8.0	4.0	12.0	13.0			250.16808991350055
636	2.0	0.0	6.0	27.0	9.0	2.0	16.0	5.0			249.54942336470828
2418	2.0	0.0	8.0	30.0	7.0	1.0	5.0	12.0			249.0862897759528
901	4.0	0.0	14.0	31.0	11.0	2.0	0.0	8.0			248.3954970852354
1189	1.0	5.0	10.0	27.0	22.0	0.0	2.0	27.0			248.16536008053407
374	2.0	0.0	6.0	26.0	7.0	10.0	3.0	12.0			246.54545848345796
438	0.0	0.0	17.0	38.0	15.0	0.0	0.0	11.0			245.91592157816663
867	0.0	0.0	18.0	39.0	13.0	0.0	0.0	8.0			245.1670779409445
380	0.0	0.0	3.0	39.0	11.0	6.0	37.0	2.0			245.1073108197141
