INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
0	2.0	0.0	0.0	18.0	12.0	0.0	0.0	0.0	Y		9.192878270980925
1	5.0	5.0	0.0	31.0	2.0	0.0	0.0	0.0			101.09525635947399
2	4.0	0.0	1.0	20.0	0.0	2.0	10.0	9.0			181.866540636251
4	4.0	1.0	0.0	30.0	11.0	0.0	8.0	14.0			166.36027359430457
5	6.0	12.0	0.0	23.0	0.0	0.0	8.0	2.0			133.1253880506996
6									Y		0.0
7	6.0	0.0	6.0	12.0	14.0	6.0	2.0	14.0			228.24872948113543
8	2.0	0.0	2.0	20.0	1.0	7.0	2.0	15.0			194.01583680516805
9	2.0	0.0	1.0	16.0	3.0	1.0	0.0	8.0			139.88447165170487
10	14.0	0.0	0.0	20.0	0.0	0.0	0.0	6.0	Y		10.911241343914975
11	5.0	0.0	10.0	36.0	13.0	0.0	6.0	33.0			272.79510020424834
12	3.0	0.0	0.0	15.0	6.0	1.0	4.0	18.0			146.49317089064593
13	6.0	0.0	0.0	15.0	23.0	10.0	21.0	20.0			195.72435185860354
14	4.0	0.0	0.0	30.0	0.0	4.0	0.0	0.0			109.99124879864016
15	4.0	0.0	4.0	18.0	6.0	0.0	0.0	18.0			185.20962107563648
16	6.0	0.0	0.0	21.0	4.0	0.0	2.0	26.0			144.49035463146993
17	4.0	0.0	4.0	28.0	8.0	2.0	4.0	10.0			226.69986899705378
18	3.0	0.0	0.0	17.0	0.0	0.0	1.0	11.0			114.43703995928276
19	6.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	Y		7.385328468181498
20	2.0	0.0	6.0	19.0	8.0	4.0	12.0	13.0			250.16808991350058
21	2.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	Y		5.747909998533645
22	4.0	0.0	0.0	11.0	4.0	0.0	0.0	0.0			78.21704536904102
23	4.0	0.0	2.0	26.0	4.0	9.0	9.0	17.0			228.90313722498644
24	4.0	0.0	0.0	22.0	2.0	0.0	4.0	19.0			146.0264978257912
25	8.0	0.0	0.0	25.0	0.0	0.0	0.0	6.0	Y		11.18976378277713
26	2.0	2.0	0.0	21.0	19.0	0.0	3.0	20.0			148.987423939101
27	6.0	0.0	3.0	9.0	3.0	6.0	6.0	15.0			206.05106526930342
28	3.0	0.0	1.0	29.0	4.0	3.0	11.0	23.0			210.65156479322002
29	4.0	0.0	2.0	18.0	17.0	8.0	8.0	19.0			224.94245154648215
30	2.0	0.0	0.0	22.0	6.0	4.0	12.0	4.0			164.27296619745093
31	4.0	0.0	0.0	14.0	10.0	0.0	0.0	8.0	Y		10.971016672707982
32	4.0	4.0	0.0	27.0	6.0	0.0	4.0	6.0			144.6825232388918
33	4.0	0.0	1.0	28.0	17.0	2.0	7.0	11.0			201.43414383346965
34	2.0	0.0	2.0	13.0	5.0	2.0	3.0	16.0			184.4854553206283
35	4.0	0.0	0.0	22.0	0.0	9.0	12.0	20.0			178.379860629497
36											0.0
37	2.0	0.0	0.0	12.0	9.0	0.0	4.0	24.0			137.46004778004271
38	6.0	0.0	0.0	15.0	4.0	0.0	10.0	18.0			152.50427724708157
39	8.0	0.0	2.0	23.0	20.0	4.0	12.0	17.0			233.07690944594697
40	4.0	0.0	0.0	32.0	6.0	6.0	4.0	16.0			177.12223296173588
41	4.0	0.0	4.0	26.0	21.0	0.0	4.0	28.0			228.09036696281058
42	2.0	4.0	12.0	31.0	11.0	2.0	6.0	17.0			276.2374592622076
43	4.0	0.0	2.0	8.0	8.0	2.0	2.0	21.0			176.28415017926739
44	2.0	0.0	2.0	26.0	6.0	0.0	6.0	22.0			202.1066197805709
45	5.0	7.0	0.0	32.0	1.0	6.0	12.0	12.0			183.42005771269356
46	6.0	0.0	0.0	15.0	0.0	0.0	2.0	13.0	Y		12.191402642744533
47	4.0	0.0	4.0	27.0	13.0	0.0	0.0	24.0			201.11386371067292
48	2.0	0.0	6.0	9.0	5.0	2.0	4.0	2.0			195.9667065364182
49	4.0	0.0	0.0	4.0	8.0	2.0	4.0	6.0			113.85605332344986
50	4.0	0.0	5.0	33.0	7.0	0.0	0.0	31.0			212.93114818309317
51											0.0
52	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0			56.69494328855333
53	3.0	0.0	6.0	36.0	14.0	6.0	9.0	17.0			271.4826720538541
54	4.0	2.0	0.0	8.0	5.0	6.0	14.0	18.0			161.46084564046694
55	2.0	0.0	0.0	24.0	24.0	0.0	8.0	33.0			170.2813100955915
56	4.0	0.0	6.0	14.0	6.0	0.0	0.0	14.0			190.39490330823693
57	6.0	0.0	2.0	17.0	0.0	13.0	20.0	14.0			225.07224811243114
58	2.0	2.0	0.0	26.0	2.0	2.0	6.0	15.0			161.28270688169792
59	7.0	0.0	1.0	17.0	0.0	0.0	0.0	7.0			131.17680429499947
60	3.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0			92.78115191772811
