INDEX	TT?(Y/N/MB/NA)	MACAQUE?(Y/N/MB/NA)	TC_OR_CT?(Y/N/MB/NA)	RELEVANT?(Y/N/MB/NA)	REVIEW(Y/N)	READ_BY(A/D/R)	COMMENT	DOI	PMID	PMCID	FULL_TEXT_URL	PDF_URL	TITLE	ABSTRACT	KEYWORDS
377	Y	Y	Y	Y	Y	A/D/R	Book review. RB: I'd like to count this review in, we can always decide to use the original articles. 		Y	Y	Y	Y		A/D/R	Book review. RB: I'd like to count this review in, we can always decide to use the original articles. 
969	N			N		D	we studied the structural organization of the medial pulvinar to determine how it differs from the surrounding unimodal nuclei.	thalamus; diencephalon; eye movement; primate; LATERAL GENICULATE-NUCLEUS; THALAMOCORTICAL PROJECTION NEURONS; INFERIOR PARIETAL LOBULE; POSTERIOR CINGULATE CORTEX; MONKEY MACACA-MULATTA; FRONTAL EYE FIELDS; RHESUS-MONKEY; SUPERIOR COLLICULUS; HORSERADISH-PEROXIDASE; CORTICOTHALAMIC CONNECTIONS							
120	Y	Y	Y	Y		D/A									
321	Y	Y	Y	Y		D/A		monkey; horseradish peroxidase; thalamocortical neurons; corticothalamic neurons; thalamic organization; cerebellar nuclei;							
395	N	Y	Y	N		D/A	Lesion study		N	Y	Y	N		D	
1252	N			N		D	An summary and review of The Limbic Thalamus	FATAL FAMILIAL INSOMNIA; MEDIAL PREFRONTAL CORTEX; MIDDLE CEREBRAL-ARTERY; POSTERIOR PARIETAL CORTEX; MONKEY MACACA-MULATTA; RHESUS-MONKEY; FRONTAL-LOBE; CORTICOTHALAMIC CONNECTIONS; MEDIODORSAL NUCLEUS; HIPPOCAMPAL-FORMATION							
2645	N	Y		N		D/A	EM, not tracing	cerebral cortex; electron microscopy; horseradish peroxidase; commissural projections; thalamocortical degeneration; synaptic organization;							
329	Y	Y	Y	Y		D/A		thalamocortical; corticothalamic; ventral anterior; ventral lateral; mediodorsal; frontal cortex							
254				N		D/A	No data reported	mediodorsal thalamus; anterior thalamus; intralaminar thalamus; thalamocortical interactions; pulvinar							
2772	Y	Y		Y		D/A	Macaca Fascicularis								
