INDEX	TT?(Y/N/MB/NA)	MACAQUE?(Y/N/MB/NA)	TC_OR_CT?(Y/N/MB/NA)	RELEVANT?(Y/N/MB/NA)	REVIEW(Y/N)	READ_BY(A/D/R)	COMMENT	DOI	PMID	PMCID	FULL_TEXT_URL	PDF_URL	TITLE	ABSTRACT	KEYWORDS
377												https://link.springer.com/content/pdf/10.1007/978-3-030-23810-0_24.pdf	Cerebellar thalamic and thalamocortical projections		
310								10.1016/0165-0173(79)90008-0	394815.0		https://linkinghub.elsevier.com/retrieve/pii/0165017379900080	://linkinghub.elsevier.com/	Thalamocortical synaptic relations: A review with emphasis on the projections of specific thalamic nuclei to the primary sensory areas of the neocortex		thalamocortex; synapse; neocortex; somatosensory cortex; electron microscopy;
416								10.1016/s0361-9230(00)00364-6	11179837.0		https://linkinghub.elsevier.com/retrieve/pii/S0361923000003646	://linkinghub.elsevier.com/	A comparative analysis of the morphology of corticothalamic projections in mammals	Recent anatomical tracing methods have revealed new principles underlying the organization of corticothalamic connections in the mammalian nervous system These data demonstrated the distribution of two types of synaptic contacts in the corticothalamic projection small  μm and giant  μm axon terminals We compare the organization of corticothalamic projections in the auditory somatosensory visual and motor systems of a variety of mammalian species including the monkey In all these systems and species both types of corticothalamic terminals have been observed Small endings formed the major corticothalamic terminal field whereas giant terminals were less numerous and formed additional terminal fields together with small terminals After comparing their spatial distribution as well as the degree of reciprocity between the corticothalamic and thalamocortical projections different roles are proposed for small and giant endings Small terminals are typically present in the projection serving the feed-back control of the cerebral cortex on the thalamic nucleus from which it receives its main projection In contrast giant terminals are involved in feed-forward projections by which activity from a cortical area is distributed via the thalamus to other parts of the cerebral cortex The cross-species and cross-systems comparison reveals differences in the mode of feed-forward projection which may be involved in the activation of other parts of the same cortical area or form part of a projection that activates other cortical areas	Rodent; Cat; Monkey; Tracing; Thalamus; Auditory cortex; Visual cortex; Motor cortex; Somatosensory cortex;
220								10.1016/j.brainresbull.2008.09.013	18950692.0	PMC4459637	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4459637/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4459637/pdf/nihms696538.pdf	The cortico-basal ganglia integrative network: the role of the thalamus	The thalamus is a critical component of the frontal cortical-basal ganglia-thalamic circuits that mediate motivation and emotional drive planning and cognition for the development and expression of goal-directed behaviors Each functional region of the frontal cortex is connected with specific areas of each basal ganglia BG structure and of the thalamus In addition the thalamus sends a massive topographically organized projection directly to the striatum Tract-tracing and physiological experiments have indicated a general topographic organization of the cortical-BG-thalamic loops and supported a model of BG function based on parallel and segregated pathways However the learning and execution of appropriate behavioral responses require integration of inputs related to emotional cognitive and motor cortical functions Our recent data indicate that integration may occur via non-reciprocal connections between the striatum and substantia nigra and within hot spots of convergence between cortico-striatal projections from different functional regions Similarly integration may exist in the thalamus There are non-reciprocal connections between the thalamus and cortex via thalamocortical projections that terminate in the superficial and deep cortical layers These terminals can influence different functional cortical areas that in turn project to the striatum and back to the thalamus In addition a non-reciprocal corticothalamic projection terminates in thalamic regions that are parts of other circuits Finally hot spots of convergence between terminals from different cortical regions may also occur in the thalamus as is seen in the striatum Thus via several different pathways the thalamus may serve as an important center of integration of networks that underlie the ability to modulate behaviors	
276								10.1007/978-1-4899-0194-1_3			https://link.springer.com/chapter/10.1007/978-1-4899-0194-1_3		The Basal Ganglia-Thalamo-Cortical Connections with Special Reference to Output Neuronal Distributions in Macaque Monkeys	The thalamic subdivisions that receive basal ganglia inputs gain access to wide regions of the frontal lobe Five parallel basal ganglia-thalamo-cortical loops have been identified Alexander et al  The individual output channels in the medial pallidal segment GPm are concerned with different aspects of behavior Recently the motor related cortical areas such as cingulate motor area supplementary motor area SMA and premotor area have been divided into several subareas morphologically and functionally The striatum especially the ventral striatum is also heterogeneous both neurochemically and functionally Much attention has been given to the concept of parallel processing of information through the functionally distinct multiple channels instead of the classical concept of a general funneling of cortical inputs from widespread cortical areas These keywords were added by machine and not by the authors This process is experimental and the keywords may be updated as the learning algorithm improves	Motor Area; Supplementary Motor Area; Macaque Monkey; Premotor Area; Mesial Area;
1273								10.1038/s41583-019-0212-7	31492945.0		https://www.nature.com/articles/s41583-019-0212-7	https://www.nature.com/articles/s41583-019-0212-7.pdf	The brain’s default network: updated anatomy; physiology and evolving insights	Discoveries over the past two decades demonstrate that regions distributed throughout the association cortex often called the default network are suppressed during tasks that demand external attention and are active during remembering envisioning the future and making social inferences This Review describes progress in understanding the organization and function of networks embedded within these association regions Detailed high-resolution analyses of single individuals suggest that the default network is not a single network as historically described but instead comprises multiple interwoven networks The multiple networks share a common organizational motif also evident in marmoset and macaque anatomical circuits that might support a general class of processing function dependent on internally constructed rather than externally constrained representations with each separate interwoven network specialized for a distinct processing domain Direct neuronal recordings in humans and monkeys reveal evidence for competitive relationships between the internally and externally oriented networks Findings from rodent studies suggest that the thalamus might be essential to controlling which networks are engaged through specialized thalamic reticular neurons including antagonistic subpopulations These association networks and presumably thalamocortical circuits are expanded in humans and might be particularly vulnerable to dysregulation implicated in mental illness	INTRINSIC FUNCTIONAL CONNECTIVITY; THALAMIC RETICULAR NUCLEUS; CONSCIOUS RESTING STATE; MODE NETWORK; AUTOBIOGRAPHICAL MEMORY; POSTERIOR CINGULATE; PREFRONTAL CORTEX; ASSOCIATION NETWORKS; DISTRIBUTED NETWORKS; CORTICAL CONNECTIONS
49								10.1007/s00429-021-02377-7	34524542.0	PMC8541979	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8541979/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8541979/pdf/429_2021_Article_2377.pdf	Vision for action: thalamic and cortical inputs to the macaque superior parietal lobule	The dorsal visual stream the cortical circuit that in the primate brain is mainly dedicated to the visual control of actions is split into two routes a lateral and a medial one both involved in coding different aspects of sensorimotor control of actions The lateral route named lateral grasping network is mainly involved in the control of the distal part of prehension namely grasping and manipulation The medial route named reach-to-grasp network is involved in the control of the full deployment of prehension act from the direction of arm movement to the shaping of the hand according to the object to be grasped In macaque monkeys the reach-to-grasp network the target of this review includes areas of the superior parietal lobule SPL that hosts visual and somatosensory neurons well suited to control goal-directed limb movements toward stationary as well as moving objects After a brief summary of the neuronal functional properties of these areas we will analyze their cortical and thalamic inputs thanks to retrograde neuronal tracers separately injected into the SPL areas V VA PEc and PE These areas receive visual and somatosensory information distributed in a caudorostral visuosomatic trend and some of them are directly connected with the dorsal premotor cortex This review is particularly focused on the origin and type of visual information reaching the SPL and on the functional role this information can play in guiding limb interaction with objects in structured and dynamic environments	Dorsal visual stream; Sensorimotor integration; Goal-directed arm movement; Area V; Area VA; Area PEc
251								10.1073/pnas.1008054107	20628011.0	PMC2922151	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2922151/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2922151/pdf/pnas.201008054.pdf	Network architecture of the long-distance pathways in the macaque brain	Understanding the network structure of white matter communication pathways is essential for unraveling the mysteries of the brains function organization and evolution To this end we derive a unique network incorporating  anatomical tracing studies of the macaque brain from the Collation of Connectivity data on the Macaque brain CoCoMac neuroinformatic database Our network consists of  hierarchically organized regions spanning cortex thalamus and basal ganglia models the presence of  directed long-distance connections is three times larger than any previously derived brain network and contains subnetworks corresponding to classic corticocortical corticosubcortical and subcortico-subcortical fiber systems We found that the empirical degree distribution of the network is consistent with the hypothesis of the maximum entropy exponential distribution and discovered two remarkable bridges between the brains structure and function via network-theoretical analysis First prefrontal cortex contains a disproportionate share of topologically central regions Second there exists a tightly integrated core circuit spanning parts of premotor cortex prefrontal cortex temporal lobe parietal lobe thalamus basal ganglia cingulate cortex insula and visual cortex that includes much of the task-positive and task-negative networks and might play a special role in higher cognition and consciousness	neuroanatomy; brain network; network analysis; structural; functional
354											https://neuro.psychiatryonline.org/doi/full/10.1176/jnp.16.2.127	https://neuro.psychiatryonline.org/doi/reader/10.1176/jnp.16.2.127	The Limbic Thalamus		
465								10.3389/fnsys.2013.00056	24101896.0	PMC3787245	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3787245/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3787245/pdf/fnsys-07-00056.pdf	Cognitive control of movement via the cerebellar-recipient thalamus	The cognitive control of behavior was long considered to be centralized in cerebral cortex More recently subcortical structures such as cerebellum and basal ganglia have been implicated in cognitive functions as well The fact that subcortico-cortical circuits for the control of movement involve the thalamus prompts the notion that activity in movement-related thalamus may also reflect elements of cognitive behavior Yet this hypothesis has rarely been investigated Using the pathways linking cerebellum to cerebral cortex via the thalamus as a template we review evidence that the motor thalamus together with movement-related central thalamus have the requisite connectivity and activity to mediate cognitive aspects of movement control	motor thalamus; central thalamus; thalamus; cognition; cerebellum; timing; executive control; language
