'ID','ID_Literature','Volume','PMID','Pages','Number','Journal'
'6','6','18','9852590','10525-40',NULL,'J. Neurosci.'
'7','7','190','6768425','347-368',NULL,'Brain Res.'
'8','8','189','6769979','573-591',NULL,'J. Comp. Neurol.'
'16','16','222','6321564','56-68',NULL,'J. Comp. Neurol.'
'22','23','22','16307594','2519-2530','','Eur. J. Neurosci.'
'26','28','309','6478229','367-372',NULL,'Brain Res.'
'42','45','313','1761756','65-94',NULL,'J. Comp. Neurol.'
'44','47','168','821975','249-302',NULL,'J. Comp. Neurol.'
'46','49','396','9624591','381-398',NULL,'J. Comp. Neurol.'
'49','52','115','9262198','430-444',NULL,'Exp. Brain Res.'
'54','57','','18253938','1709-1733','507','J. Comp. Neurol.'
'57','60','108','819095','1-24',NULL,'Brain Res.'
'79','82','363','8847421','615-641',NULL,'J. Comp. Neurol.'
'81','84','371','8835726','179-201',NULL,'J. Comp. Neurol.'
'88','91','335','8227513','173-199',NULL,'J. Comp. Neurol.'
'89','92','335','8227514','200-213',NULL,'J. Comp. Neurol.'
'90','93','299','1698837','17-46',NULL,'J. Comp. Neurol.'
'91','94','462','12811808','382-399',NULL,'J. Comp. Neurol.'
'108','112','41','8886384','151-158','3','Brain Res. Bulletin'
'110','114','280','2537343','343-358',NULL,'J. Comp. Neurol.'
'113','117','259','3584565','424-444',NULL,'J. Comp. Neurol.'
'120','124','277','2466057','195-213',NULL,'J. Comp. Neurol.'
'122','126','409','10379830','452-468',NULL,'J. Comp. Neurol.'
'129','134','242',NULL,'535-560',NULL,'J. Comp. Neurol.'
'134','140','113','2302527','1-25',NULL,'Brain'
'138','144','','17444488','924-952','502','J. Comp. Neurol.'
'140','146','192','7419758','853-882',NULL,'J. Comp. Neurol.'
'144','150','362','8576433','195-208',NULL,'J. Comp. Neurol.'
'146','152','11','1715388','2644-2654',NULL,'J. Neurosci.'
'147','153','394','9590556','475-495',NULL,'J. Comp. Neurol.'
'148','154','400','9766404','271-286',NULL,'J. Comp. Neurol.'
'157','163','264','3680636','396-408',NULL,'J. Comp. Neurol.'
'158','164','409','10379824','369-384',NULL,'J. Comp. Neurol.'
'159','165','262','2821085','331-364',NULL,'J. Comp. Neurol.'
'172','179','362','8576431','153-170',NULL,'J. Comp. Neurol.'
'175','182','183','105020','833-882',NULL,'J. Comp. Neurol.'
