INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
900	0.0	11.0	22.0	45.0	11.0	8.0	31.0	17.0	0.0	8.0	12.0	22.0	9.0	6.0	12.0	10.0	8.0	53.0	38.0	155.0	47.0	19.0	49.0	77.0	217.1821986766862	179.1543253258412	296.2563036193188
142	12.0	0.0	8.0	21.0	0.0	6.0	37.0	26.0	3.0	0.0	2.0	9.0	9.0	4.0	14.0	12.0	8.0	0.0	5.0	34.0	20.0	18.0	61.0	41.0	203.26378144999575	147.96103426982413	236.3907968327714
321	3.0	0.0	17.0	31.0	7.0	3.0	17.0	15.0	4.0	1.0	10.0	23.0	6.0	1.0	8.0	15.0	10.0	3.0	10.0	32.0	11.0	1.0	12.0	31.0	201.66935270755783	165.86368862769643	185.38447138912093
277	3.0	0.0	7.0	25.0	21.0	11.0	7.0	30.0																	201.5476442351853	0.0	0.0
329	2.0	0.0	9.0	39.0	25.0	4.0	12.0	24.0	1.0	0.0	10.0	31.0	21.0	2.0	6.0	18.0	26.0	10.0	142.0	347.0	195.0	100.0	88.0	286.0	195.66265839041745	173.14496708009509	402.6324770777863
969	42.0	0.0	27.0	69.0	14.0	0.0	0.0	27.0	2.0	0.0	0.0	13.0	7.0	0.0	1.0	15.0	44.0	26.0	7.0	307.0	53.0	2.0	28.0	215.0	193.6033398881964	68.56831930803122	243.2285038818953
1001	0.0	0.0	10.0	44.0	16.0	14.0	5.0	4.0	0.0	0.0	7.0	28.0	13.0	7.0	3.0	5.0	34.0	3.0	68.0	238.0	104.0	126.0	36.0	100.0	192.3058617144388	163.26485528087284	372.73651521750895
1252	44.0	0.0	21.0	64.0	44.0	0.0	0.0	21.0	0.0	1.0	0.0	12.0	5.0	0.0	2.0	9.0	27.0	10.0	6.0	116.0	48.0	0.0	14.0	82.0	191.57508364626065	55.72104491128707	193.4295541710739
377	0.0	0.0	100.0	200.0	0.0	0.0	0.0	100.0	0.0	0.0	1.0	31.0	8.0	0.0	5.0	14.0	46.0	12.0	42.0	308.0	101.0	8.0	75.0	270.0	191.48666458582855	94.4300071264686	323.1222760839016
592	45.0	0.0	45.0	45.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	2.0	17.0	6.0	19.0	184.0	134.0	0.0	50.0	158.0	191.43206982445477	31.78053830347946	241.2979136010206
