SOURCE,EXTERNAL_ID,PMCID,DOI,AUTHORS,PUBLICATION_YEAR,PUBLICATION_MONTH,TITLE,JOURNAL,VOLUME,ISSUE,PAGE_INFO,PUBLISHER,TIMES_CITED,GRANTS,OPEN_ACCESS,LICENSE,FIRST_PUB_DATE (dd/mm/yyyy),EMBARGO_DATE (dd/mm/yyyy),IN_EPMC,EPMC_AUTH_MAN
MED,37123374,PMC10133512,10.3389/fnins.2023.1163600,"Anticevic, Alan; Halassa, Michael M",2023,,The thalamus in psychosis spectrum disorder.,"Front Neurosci",17,"","1163600",,0,"",Y,cc by,2023-04-13,,Y,N
MED,37498741,,10.1016/j.celrep.2023.112844,"Müller, Eli J; Munn, Brandon R; Redinbaugh, Michelle J; Lizier, Joseph; Breakspear, Michael; Saalmann, Yuri B; Shine, James M",2023,7,The non-specific matrix thalamus facilitates the cortical information processing modes relevant for conscious awareness.,"Cell Rep",42,"8","112844",,0,"""National Health and Medical Research Council"":""ID_NOT_SUPPLIED""",N,cc by-nc-nd,2023-07-25,,N,N
MED,37360183,PMC10288156,10.3389/fnins.2023.1136500,"She, Hong-Qing; Sun, Yi-Fei; Chen, Li; Xiao, Qiu-Xia; Luo, Bo-Yan; Zhou, Hong-Su; Zhou, Di; Chang, Quan-Yuan; Xiong, Liu-Lin",2023,,Current analysis of hypoxic-ischemic encephalopathy research issues and future treatment modalities.,"Front Neurosci",17,"","1136500",,0,"",Y,cc by,2023-06-09,,Y,N
MED,35147755,PMC9106894,10.1007/s00429-022-02463-4,"Spadory, Taylor; Duque, Alvaro; Selemon, Lynn D",2022,6,Spatial-temporal topography in neurogenesis of the macaque thalamus.,"Brain Struct Funct",227,"5","1673-1682",,1,"""National Institute of Mental Health"":""R01MH113257"",""NIMH NIH HHS"":""R01 MH113257"",""NIMH NIH HHS"":""R01MH113257""",N,,2022-02-11,2023-06-01,Y,N
MED,36622414,PMC10250521,10.1007/s00429-022-02598-4,"García-Cabezas, Miguel Ángel; Pérez-Santos, Isabel; Cavada, Carmen",2023,6,Mapping the primate thalamus: historical perspective and modern approaches for defining nuclei.,"Brain Struct Funct",228,"5","1125-1151",,0,"""Comunidad de Madrid"":""SI2/PBG/2020-00014"",""Ministerio de Ciencia, Innovación y Universidades"":""BEAGAL18/00098"",""Fundación Tatiana Pérez de Guzmán el Bueno"":""Chair in Neuroscience UAM""",Y,cc by,2023-01-09,,Y,N
MED,37298594,PMC10254002,10.3390/ijms24119643,"Wang, Ting; Wang, Yu; Montero-Pedrazuela, Ana; Prensa, Lucía; Guadaño-Ferraz, Ana; Rausell, Estrella",2023,6,Thyroid Hormone Transporters MCT8 and OATP1C1 Are Expressed in Projection Neurons and Interneurons of Basal Ganglia and Motor Thalamus in the Adult Human and Macaque Brains.,"Int J Mol Sci",24,"11","9643",,0,"""The Sherman Foundation (Australia)"":""OTR02211"",""Asociación Corriendo con el Corazón por Hugo (Spain)"":""OTR06190"",""China Scholarship Council (China)"":""201808390005"",""Consejo Superior de Investigaciones Científicas (Spain)"":""2020AEP044"",""Ministerio de Ciencia e Innovación (Spain)"":""MCIN/AEI/10.13039/501100011033/FEDER; PID2020-113139RB-I00"",""Ministerio de Ciencia e Innovación (Spain)"":""MCIN/AEI/10.13039/501100011033; SAF2017-86342-R""",Y,cc by,2023-06-01,,Y,N
MED,37377946,PMC10291062,10.3389/fninf.2023.1170337,"Kaiser, Marcus",2023,,Connectomes: from a sparsity of networks to large-scale databases.,"Front Neuroinform",17,"","1170337",,0,"",Y,cc by,2023-06-12,,Y,N
MED,36351826,PMC9665921,10.1523/jneurosci.1535-22.2022,"Yoshida, Junichi; Oñate, Maritza; Khatami, Leila; Vera, Jorge; Nadim, Farzan; Khodakhah, Kamran",2022,11,"Cerebellar Contributions to the Basal Ganglia Influence Motor Coordination, Reward Processing, and Movement Vigor.","J Neurosci",42,"45","8406-8415",,3,"""HHS | NIH | National Institute of Mental Health"":""R01MH115604"",""HHS | NIH | National Institute of Neurological Disorders and Stroke"":""R01NS079750"",""HHS | NIH | National Institute on Drug Abuse"":""R01DA044761""",N,cc by-nc-sa,2022-11-01,2023-05-09,Y,N
MED,37291094,PMC10250345,10.1038/s41467-023-38582-7,"Chen, Xinhong; Wolfe, Damien A; Bindu, Dhanesh Sivadasan; Zhang, Mengying; Taskin, Naz; Goertsen, David; Shay, Timothy F; Sullivan, Erin E; Huang, Sheng-Fu; Ravindra Kumar, Sripriya; Arokiaraj, Cynthia M; Plattner, Viktor M; Campos, Lillian J; Mich, John K; Monet, Deja; Ngo, Victoria; Ding, Xiaozhe; Omstead, Victoria; Weed, Natalie; Bishaw, Yeme; Gore, Bryan B; Lein, Ed S; Akrami, Athena; Miller, Cory; Levi, Boaz P; Keller, Annika; Ting, Jonathan T; Fox, Andrew S; Eroglu, Cagla; Gradinaru, Viviana",2023,6,Functional gene delivery to and across brain vasculature of systemic AAVs with endothelial-specific tropism in rodents and broad tropism in primates.,"Nat Commun",14,"1","3345",,0,"""Swiss National Science Foundation"":""188952"",""NIDA NIH HHS"":""DP1 DA048931"",""NCCIH NIH HHS"":""DP1 AT009497"",""NIMH NIH HHS"":""DP1 MH104069"",""NIH HHS"":""DP1 OD000616"",""Swiss National Science Foundation"":""310030"",""NIBIB NIH HHS"":""DP1 EB016986"",""NINDS NIH HHS"":""DP1 NS111369""",Y,cc by,2023-06-08,,Y,N
MED,35851953,PMC10087288,10.1113/jp282626,"Perry, Brook A L; Mendez, Juan Carlos; Mitchell, Anna S",2023,1,"Cortico-thalamocortical interactions for learning, memory and decision-making.","J Physiol",601,"1","25-35",,0,"""Wellcome Trust"":""110157/Z/15/Z""",Y,cc by,2022-08-14,,Y,N
MED,36890350,PMC10250273,10.1007/s00429-023-02619-w,"Pérez-Santos, Isabel; García-Cabezas, Miguel Ángel; Cavada, Carmen",2023,6,Mapping the primate thalamus: systematic approach to analyze the distribution of subcortical neuromodulatory afferents.,"Brain Struct Funct",228,"5","1153-1176",,1,"""Chair in Neuroscience UAM-Fundación Tatiana Pérez de Guzmán el Bueno"":""ID_NOT_SUPPLIED"",""Universidad Autónoma de Madrid"":""ID_NOT_SUPPLIED"",""Comunidad de Madrid, Spain"":""BEAGAL18/00098""",Y,cc by,2023-03-08,,Y,N
MED,34698418,PMC8764486,10.1002/hbm.25696,"Zhang, Jie; Zhou, Zhen; Li, Lingling; Ye, Jing; Shang, Desheng; Zhong, Shuchang; Yao, Bo; Xu, Cong; Yu, Yamei; He, Fangping; Ye, Xiangming; Luo, Benyan",2022,2,Cerebral perfusion mediated by thalamo-cortical functional connectivity in non-dominant thalamus affects naming ability in aphasia.,"Hum Brain Mapp",43,"3","940-954",,4,"""National Key Research and Development Program of China"":""2017YFC1308500"",""Natural Science Foundation of Zhejiang Province"":""LGF20H170011"",""National Natural Science Foundation of China"":""81902278""",Y,cc by-nc-nd,2021-10-26,,Y,N
MED,35302854,PMC8932660,10.1126/sciadv.abl5547,"Tasserie, Jordy; Uhrig, Lynn; Sitt, Jacobo D; Manasova, Dragana; Dupont, Morgan; Dehaene, Stanislas; Jarraya, Béchir",2022,3,Deep brain stimulation of the thalamus restores signatures of consciousness in a nonhuman primate model.,"Sci Adv",8,"11","eabl5547",,10,"",Y,cc by,2022-03-18,,Y,N
MED,37139079,PMC10149680,10.3389/fncir.2023.1155195,"Murakami, Tomonari; Ohki, Kenichi",2023,,Thalamocortical circuits for the formation of hierarchical pathways in the mammalian visual cortex.,"Front Neural Circuits",17,"","1155195",,0,"",Y,cc by,2023-04-17,,Y,N
