PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35851953","Cortico-thalamocortical interactions for learning, memory and decision-making","Perry BAL, Mendez JC, Mitchell AS.","J Physiol. 2023 Jan;601(1):25-35. doi: 10.1113/JP282626. Epub 2022 Aug 14.","Perry BAL","J Physiol","2023","2022/07/19","PMC10087288","","10.1113/JP282626"
"34524542","Vision for action: thalamic and cortical inputs to the macaque superior parietal lobule","Gamberini M, Passarelli L, Filippini M, Fattori P, Galletti C.","Brain Struct Funct. 2021 Dec;226(9):2951-2966. doi: 10.1007/s00429-021-02377-7. Epub 2021 Sep 15.","Gamberini M","Brain Struct Funct","2021","2021/09/15","PMC8541979","","10.1007/s00429-021-02377-7"
"29542210","Corticothalamic axon morphologies and network architecture","Rockland KS.","Eur J Neurosci. 2019 Apr;49(8):969-977. doi: 10.1111/ejn.13910. Epub 2018 Mar 30.","Rockland KS","Eur J Neurosci","2019","2018/03/16","","","10.1111/ejn.13910"
"29322527","Thalamo-cortical projections to the macaque superior parietal lobule areas PEc and PE","Impieri D, Gamberini M, Passarelli L, Rosa MGP, Galletti C.","J Comp Neurol. 2018 Apr 15;526(6):1041-1056. doi: 10.1002/cne.24389. Epub 2018 Jan 10.","Impieri D","J Comp Neurol","2018","2018/01/12","","","10.1002/cne.24389"
"33834704","The superior parietal lobule of primates: a sensory-motor hub for interaction with the environment","Passarelli L, Gamberini M, Fattori P.","J Integr Neurosci. 2021 Mar 30;20(1):157-171. doi: 10.31083/j.jin.2021.01.334.","Passarelli L","J Integr Neurosci","2021","2021/04/09","","","10.31083/j.jin.2021.01.334"
"17140815","Distribution of the dopamine innervation in the macaque and human thalamus","García-Cabezas MA, Rico B, Sánchez-González MA, Cavada C.","Neuroimage. 2007 Feb 1;34(3):965-84. doi: 10.1016/j.neuroimage.2006.07.032. Epub 2006 Nov 30.","García-Cabezas MA","Neuroimage","2007","2006/12/05","","","10.1016/j.neuroimage.2006.07.032"
"30022540","Macaque parvocellular mediodorsal thalamus: dissociable contributions to learning and adaptive decision-making","Chakraborty S, Ouhaz Z, Mason S, Mitchell AS.","Eur J Neurosci. 2019 Apr;49(8):1041-1054. doi: 10.1111/ejn.14078. Epub 2018 Aug 16.","Chakraborty S","Eur J Neurosci","2019","2018/07/20","PMC6519510","","10.1111/ejn.14078"
"34524875","Neuromodulatory Control of Early Visual Processing in Macaque","Disney AA.","Annu Rev Vis Sci. 2021 Sep 15;7:181-199. doi: 10.1146/annurev-vision-100119-125739.","Disney AA","Annu Rev Vis Sci","2021","2021/09/15","","","10.1146/annurev-vision-100119-125739"
"23879573","Cortico-cortical, cortico-striatal, and cortico-thalamic white matter fiber tracts generated in the macaque brain via dynamic programming","Ratnanather JT, Lal RM, An M, Poynton CB, Li M, Jiang H, Oishi K, Selemon LD, Mori S, Miller MI.","Brain Connect. 2013;3(5):475-90. doi: 10.1089/brain.2013.0143. Epub 2013 Sep 18.","Ratnanather JT","Brain Connect","2013","2013/07/25","PMC3798182","","10.1089/brain.2013.0143"
"35147755","Spatial-temporal topography in neurogenesis of the macaque thalamus","Spadory T, Duque A, Selemon LD.","Brain Struct Funct. 2022 Jun;227(5):1673-1682. doi: 10.1007/s00429-022-02463-4. Epub 2022 Feb 11.","Spadory T","Brain Struct Funct","2022","2022/02/11","PMC9106894","NIHMS1783060","10.1007/s00429-022-02463-4"
"21800316","Cortical and subcortical connections of V1 and V2 in early postnatal macaque monkeys","Baldwin MK, Kaskan PM, Zhang B, Chino YM, Kaas JH.","J Comp Neurol. 2012 Feb 15;520(3):544-69. doi: 10.1002/cne.22732.","Baldwin MK","J Comp Neurol","2012","2011/07/30","PMC3673566","NIHMS374323","10.1002/cne.22732"
"3571529","Crossed corticothalamic and thalamocortical connections of macaque prefrontal cortex","Preuss TM, Goldman-Rakic PS.","J Comp Neurol. 1987 Mar 8;257(2):269-81. doi: 10.1002/cne.902570211.","Preuss TM","J Comp Neurol","1987","1987/03/08","","","10.1002/cne.902570211"
"17395383","Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys","Cappe C, Morel A, Rouiller EM.","Neuroscience. 2007 May 25;146(3):1371-87. doi: 10.1016/j.neuroscience.2007.02.033. Epub 2007 Mar 29.","Cappe C","Neuroscience","2007","2007/03/31","","","10.1016/j.neuroscience.2007.02.033"
"33652141","Structural alterations in cortical and thalamocortical white matter tracts after recovery from prefrontal cortex lesions in macaques","Adam R, Schaeffer DJ, Johnston K, Menon RS, Everling S.","Neuroimage. 2021 May 15;232:117919. doi: 10.1016/j.neuroimage.2021.117919. Epub 2021 Feb 27.","Adam R","Neuroimage","2021","2021/03/02","","","10.1016/j.neuroimage.2021.117919"
"17626282","Midline and intralaminar thalamic connections with the orbital and medial prefrontal networks in macaque monkeys","Hsu DT, Price JL.","J Comp Neurol. 2007 Sep 10;504(2):89-111. doi: 10.1002/cne.21440.","Hsu DT","J Comp Neurol","2007","2007/07/13","","","10.1002/cne.21440"
"819108","Thalamic projections of the dorsomedial prefrontal cortex in the rhesus monkey (Macaca mulatta)","Tanaka D Jr.","Brain Res. 1976 Jun 25;110(1):21-38. doi: 10.1016/0006-8993(76)90206-7.","Tanaka D Jr","Brain Res","1976","1976/06/25","","","10.1016/0006-8993(76)90206-7"
"1501135","The activity of monkey thalamic and motor cortical neurones in a skilled, ballistic movement","Butler EG, Horne MK, Hawkins NJ.","J Physiol. 1992 Jan;445:25-48. doi: 10.1113/jphysiol.1992.sp018910.","Butler EG","J Physiol","1992","1992/01/01","PMC1179968","","10.1113/jphysiol.1992.sp018910"
"14729248","Thalamo-cortical projections to the posterior parietal cortex in the monkey","Matsuzaki R, Kyuhou S, Matsuura-Nakao K, Gemba H.","Neurosci Lett. 2004 Jan 23;355(1-2):113-6. doi: 10.1016/j.neulet.2003.10.066.","Matsuzaki R","Neurosci Lett","2004","2004/01/20","","","10.1016/j.neulet.2003.10.066"
"3624554","Cingulate cortex of the rhesus monkey: I. Cytoarchitecture and thalamic afferents","Vogt BA, Pandya DN, Rosene DL.","J Comp Neurol. 1987 Aug 8;262(2):256-70. doi: 10.1002/cne.902620207.","Vogt BA","J Comp Neurol","1987","1987/08/08","","","10.1002/cne.902620207"
"2537345","Thalamic input to inferior area 6 and area 4 in the macaque monkey","Matelli M, Luppino G, Fogassi L, Rizzolatti G.","J Comp Neurol. 1989 Feb 15;280(3):468-88. doi: 10.1002/cne.902800311.","Matelli M","J Comp Neurol","1989","1989/02/15","","","10.1002/cne.902800311"
"8841922","Thalamic input to mesial and superior area 6 in the macaque monkey","Matelli M, Luppino G.","J Comp Neurol. 1996 Aug 12;372(1):59-87. doi: 10.1002/(SICI)1096-9861(19960812)372:1<59::AID-CNE6>3.0.CO;2-L.","Matelli M","J Comp Neurol","1996","1996/08/12","","","10.1002/(SICI)1096-9861(19960812)372:1<59::AID-CNE6>3.0.CO;2-L"
"32078035","Thalamic afferents emphasize the different functions of macaque precuneate areas","Gamberini M, Passarelli L, Impieri D, Worthy KH, Burman KJ, Fattori P, Galletti C, Rosa MGP, Bakola S.","Brain Struct Funct. 2020 Mar;225(2):853-870. doi: 10.1007/s00429-020-02045-2. Epub 2020 Feb 20.","Gamberini M","Brain Struct Funct","2020","2020/02/21","","","10.1007/s00429-020-02045-2"
"17261798","Nucleus- and cell-specific gene expression in monkey thalamus","Murray KD, Choudary PV, Jones EG.","Proc Natl Acad Sci U S A. 2007 Feb 6;104(6):1989-94. doi: 10.1073/pnas.0610742104. Epub 2007 Jan 29.","Murray KD","Proc Natl Acad Sci U S A","2007","2007/01/31","PMC1783903","","10.1073/pnas.0610742104"
"29094187","Area-specific processing of cerebellar-thalamo-cortical information in primates","Nashef A, Rapp H, Nawrot MP, Prut Y.","Biol Cybern. 2018 Apr;112(1-2):141-152. doi: 10.1007/s00422-017-0738-6. Epub 2017 Nov 2.","Nashef A","Biol Cybern","2018","2017/11/03","","","10.1007/s00422-017-0738-6"
"22319295","Visual pathways serving motion detection in the mammalian brain","Rokszin A, Márkus Z, Braunitzer G, Berényi A, Benedek G, Nagy A.","Sensors (Basel). 2010;10(4):3218-42. doi: 10.3390/s100403218. Epub 2010 Apr 1.","Rokszin A","Sensors (Basel)","2010","2012/02/10","PMC3274219","","10.3390/s100403218"
