INDEX,MACAQUE_COUNT_IN_500,OTHER_SPIECIES_COUNT_IN_500,TC_CT_COUNT_IN_500,THALAM_COUNT_IN_500,CORTEX_COUNT_IN_500,INJECT_COUNT_IN_500,METHOD_COUNT_IN_500,CONNECT_COUNT_IN_500,RELEVANCE_INDEX
2165,65,0,21,21,22,0,0,43,105.88574155425206
277,3,0,7,25,46,11,7,30,102.16904720071858
1147,8,0,2,19,15,10,18,8,101.50774735995772
321,4,1,10,23,17,1,8,15,94.80694518217808
17,4,0,4,22,17,3,11,6,91.26524159476548
194,3,9,12,15,42,0,12,9,91.15244478900377
29,4,0,2,19,21,8,8,19,90.18681376621396
11,3,0,9,29,27,1,4,24,89.77593297154588
349,4,0,6,29,15,0,7,20,88.03262769765311
602,4,0,3,11,10,6,8,13,86.7966150375612
329,1,0,10,31,37,2,4,18,85.93503387221543
900,0,8,12,22,20,6,9,10,85.16787244598387
23,2,0,3,26,15,7,6,15,85.04750363805286
223,2,4,2,17,2,4,24,9,84.15559431757978
120,4,4,7,14,6,0,10,10,83.88406647870575
126,7,0,5,9,17,1,4,14,83.68994472028884
142,3,0,2,9,28,4,10,12,82.817573985362
134,2,0,1,22,11,9,11,12,82.62171910673715
3619,11,1,0,8,9,3,16,10,82.20450345454597
926,0,4,8,31,32,3,8,14,81.71237068012796
76,3,1,5,22,19,1,5,10,81.33334316314863
147,1,0,3,17,13,4,10,16,81.05017118783255
917,0,0,6,27,17,3,10,14,80.93544269411127
67,4,0,4,12,10,1,6,13,80.65130496378507
185,2,0,3,14,28,4,6,13,80.54737220493342
2459,2,2,6,14,8,5,4,14,80.45863932253751
903,1,0,5,17,9,1,13,8,80.35407840430989
374,2,0,4,24,21,10,2,13,80.24973728159847
1075,2,1,6,25,14,0,7,13,80.17024769463026
911,2,1,1,14,13,8,12,10,79.87211545615375
923,0,0,6,19,18,3,12,8,79.49927992887945
42,1,2,7,27,15,1,6,12,79.45316039482276
2703,3,2,0,14,18,14,16,5,79.4411231401321
89,1,0,2,21,9,2,20,5,79.29154137331918
1112,0,0,5,21,15,6,9,10,78.86707189716383
586,4,2,3,10,9,1,9,9,78.85269910857407
13,2,0,1,9,21,5,12,15,78.5386621514424
405,5,0,6,22,15,0,2,18,78.41878453113941
40,5,0,0,26,6,5,9,13,78.19041958533933
105,4,0,2,11,9,4,4,25,78.02606374652613
245,5,1,0,20,3,4,13,12,77.3522593532852
543,5,0,1,15,15,2,6,13,77.12652247629794
143,5,0,1,5,12,5,8,10,77.06249149684093
1529,4,0,0,8,32,2,20,9,76.91955823351198
380,0,0,3,27,31,2,17,4,76.68053072727886
365,3,0,4,10,14,0,8,10,76.5288310934935
824,7,0,0,10,30,5,7,9,76.31283423168128
2786,9,0,1,16,23,1,3,16,76.30781666268416
416,0,2,10,17,20,0,10,18,76.23351376972629
2489,3,1,1,12,20,5,6,16,75.93259876785501
246,3,7,0,21,3,10,16,5,75.7081912707886
222,3,0,1,8,30,4,7,14,75.61426829472525
99,4,0,0,10,6,4,14,15,75.42113352635543
