"INDEX"	"TT?(Y/N/MB/NA)"	"MACAQUE?(Y/N/MB/NA)"	"TC_OR_CT?(Y/N/MB/NA)"	"RELEVANT?(Y/N/MB/NA)"	"REVIEW(Y/N)"	"READ_BY(A/D/R)"	"COMMENT"	"DOI"	"PMID"	"PMCID"	"FULL_TEXT_URL"	"PDF_URL"	"TITLE"	"ABSTRACT"	"KEYWORDS"
120	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1016/j.neulet.2004.01.008"	15016432		"https://linkinghub.elsevier.com/retrieve/pii/S0304394004000400"	"://linkinghub.elsevier.com/"	"The dual pattern of corticothalamic projection of the primary auditory cortex in macaque monkey"	"The distribution and terminal morphology of the corticothalamic projection originating from the primary auditory cortex A were established in a macaque monkey using the anterograde and retrograde tracer biotinylated dextran amine A dense corticothalamic projection from A was found in the ventral vMGB and dorsal dMGB divisions of the medial geniculate body and to a lesser extent in the medial division mMGB the posterior thalamic nucleus PO and the suprageniculate nucleus Most terminal boutons were small  μm except some large boutons  μm located in PO and vMGB The data demonstrate that the corticothalamic projection from A in primate consists of two types of terminals small and giant endings in line with previous observations in rat and cat Retrogradely labeled thalamocortical neurons formed clusters generally overlapping the corticothalamic terminal fields"	
321	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1016/0006-8993(83)90698-4"	6626950		"https://linkinghub.elsevier.com/retrieve/pii/0006899383906984"	"://linkinghub.elsevier.com/"	"HRP studies on thalamocortical neurons related to the cerebellocerebral projection in the monkey"	"In monkeys Macaca fuscata andmulatta horseradish peroxidase HRP was injected in the cerebral cortices areas  medial and lateral parts   and  a part just rostral to area  in which stimulation of cerebellar nuclei was known to elicit superficial or deep thalamocortical responses Retrogradely labelled thalamic neurons consisted of two separate clusters of neurons as judged by the continuity of labelled thalamic cells lateral VApc VLo VLc VLm VPLo VPLc LP and medial VAmc X Pcn Cl Pulo Pulm Pull MD ones In each cluster neurons in the medial portion tend to project on more rostal cerebral cortices than those in the lateral portion In the lateral cluster medially and laterally located thalamic neurons tend to project respectively on lateral and medial parts of a cortical area Retrograde and anterograde labelling revealed that thalamocortical and corticothalamic projections are mostly reciprocal except CM which receives massive terminals from area  but projects scarcely on to the area According to the references which have demonstrated terminations of cerebellothalamic neurons thalamocortical neurons relaying the cerebellocerebral projection are presumed to be included in both the medial and lateral thalamic cell clusters mentioned above The organization of cerebellothalamocortical projections appears more complicated and elaborated than that reported before"	"monkey; horseradish peroxidase; thalamocortical neurons; corticothalamic neurons; thalamic organization; cerebellar nuclei;"
329	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1523/jneurosci.22-18-08117.2002"	12223566	"PMC6758100"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6758100/"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6758100/pdf/ns1802008117.pdf"	"Thalamic Relay Nuclei of the Basal Ganglia Form Both Reciprocal and Nonreciprocal Cortical Connections; Linking Multiple Frontal Cortical Areas"	"Thalamic relay nuclei transmit basal ganglia output to the frontal cortex forming the last link in corticobasal ganglia circuitry The thalamus regulates cortical activity through differential laminar connections providing not only feedback but also initiating feedforward loops via nonreciprocal projections that influence higher cortical areas This study examines the organization of thalamic connections with cortex from basal ganglia relay nuclei including ventral anterior VA ventral lateral VL and mediodorsal MD nuclei in the Macaque monkey Anterograde and bidirectional tracer injections H-amino acids dextran conjugates of Fluorescein Lucifer Yellow or FluoroRuby or wheat germ agglutinin into discrete VAVL MD and frontal cortical sites demonstrate specific thalamocortical connections VL projections target caudal motor areas primary supplementary and caudal premotor areas whereas VA projections target more rostral premotor areas including cingulate and presupplementary motor areas and MD projects to dorsolateral and orbital prefrontal cortices Thalamocortical projections innervate cortical layers I and III and to a lesser extent layer V In motor areas layer I projections are more extensive than those to layer III and V The complex laminar organization of projections from specific thalamic sites suggests differential regulation of cortical function Injections of bidirectional tracers into thalamic and frontal cortical sites also show that in comparison to thalamocortical projections corticothalamic projections to VAVL and MD are more widespread These findings demonstrate both reciprocal and nonreciprocal components to the thalamo-cortico-thalamic relay Together these experiments indicate a dual role for VAVL and MD nuclei  to relay basal ganglia output within specific cortical circuits and  to mediate information flow between cortical circuits"	"thalamocortical; corticothalamic; ventral anterior; ventral lateral; mediodorsal; frontal cortex"
142	"Y"	"Y"	"Y"	"Y"		"D"	"SMA receives strong indirect projections from the GPi via the thalamus; not sure if thalamic neucli are specified"	"10.1007/bf00230949"	1385203		"https://link.springer.com/article/10.1007/BF00230949"	"https://link.springer.com/content/pdf/10.1007/BF00230949.pdf?pdf=button"	"Pallidal inputs to thalamocortical neurons projecting to the supplementary motor area: an anterograde and retrograde double labeling study in the macaque monkey"	"The relationship between thalamocortical neurons projecting to the supplementary motor area SMA and pallidothalamic projection fibers was examined with an anterograde and retrograde double labeling technique in macaque monkeys Macaca fuscata In each monkey Fast Blue FB was injected into the handarm area of the SMA after mapping the somatotopy using intracortical microstimulation and horseradish peroxidase conjugated with wheat germ agglutinin WGA-HRP was injected into the ipsilateral internal segment of the globus pallidus GPi As a result numerous projection neurons labeled with FB were distributed in pallidal terminal areas labeled with WGA-HRP in the ventral nuclear group of the thalamus The present findings indicate that the SMA receives strong indirect projections from the GPi via the thalamus"	"Supplementary motor area; Thalamus; Globus pallidus; Double labeling technique; Monkey;"
42	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1016/j.neuroscience.2007.02.033"	17395383		"https://linkinghub.elsevier.com/retrieve/pii/S030645220700187X"	"://linkinghub.elsevier.com/"	"Thalamocortical and the dual pattern of corticothalamic projections of the posterior parietal cortex in macaque monkeys"	"The corticothalamic projection includes a main modulatory projection from cortical layer VI terminating with small endings whereas a less numerous driving projection from layer V forms giant endings Such dual pattern of corticothalamic projections is well established in rodents and cats for many cortical areas In non-human primates monkeys it has been reported for the primary sensory cortices A V S the motor and premotor cortical areas and in the parietal lobe also for area  The present study aimed first at refining the cytoarchitecture parcellation of area  into the sub-areas PE and PEa and second establishing whether area  also exhibits this dual pattern of corticothalamic projection and what is its precise topography To this aim the tracer biotinylated dextran amine BDA was injected in area PE in one monkey and in area PEa in a second monkey Area PE sends a major projection terminating with small endings to the thalamic lateral posterior nucleus LP ventral posterior lateral nucleus VPL medial pulvinar PuM and but fewer to ventral lateral posterior nucleus dorsal division VLpd central lateral nucleus CL and center median nucleus CM whereas giant endings formed restricted terminal fields in LP VPL and PuM For area PEa the corticothalamic projection formed by small endings was found mainly in LP VPL anterior pulvinar PuA lateral pulvinar PuL PuM and to a lesser extent in ventral posterior inferior nucleus VPI CL mediodorsal nucleus MD and CM Giant endings originating from area PEa formed restricted terminal fields in LP VPL PuA PuM MD and PuL Furthermore the origin of the thalamocortical projections to areas PE and PEa was established exhibiting clusters of neurons in the same thalamic nuclei as above in other words predominantly in the caudal thalamus Via the giant endings CT projection areas PE and PEa may send feedforward transthalamic projections to remote cortical areas in the parietal temporal and frontal lobes contributing to polysensory and sensorimotor integration relevant for visual guidance of reaching movements for instance"	"parietal lobe; primate; thalamus; retrograde and anterograde tracing; axon terminal; BDA; AChE; acetylcholinesterase; BDA; biotinylated dextran amine; CL; central lateral nucleus; CM; center median nucleus; CT; corticothalamic; FEF; frontal eye field; FR; Fluro-Ruby; IPS; intraparietal sulcus; IT; infero-temporal area; LP; lateral posterior nucleus; MD; mediodorsal nucleus; MK; monkey ; MK; monkey ; PMd-c; caudal part of dorsal premotor cortex; PMd-r; rostral part of dorsal premotor cortex; PMv-c; caudal part of ventral premotor cortex; PMv-r; rostral part of ventral premotor cortex; Pu; pulvinar nucleus; PuA; anterior pulvinar; PuL; lateral pulvinar; PuM; medial pulvinar; TC; thalamocortical; VA; ventral anterior nucleus; VLa; ventral lateral anterior nucleus; VPI; ventral posterior inferior nucleus; VPL; ventral posterior lateral nucleus; WGA; wheat germ agglutinin;"
11	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1002/cne.902570211"	3571529		"https://onlinelibrary.wiley.com/doi/10.1002/cne.902570211"	"https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.902570211"	"Crossed corticothalamic and thalamocortical connections of macaque prefrontal cortex"	"We have conducted a systematic comparison of the ipsilateral uncrossed and contralateral crossed thalamic connections of prefrontal cortex in macaque monkeys using cortical implants of horseradish peroxidase pellets and tetramethyl benzidine histochemistry to demonstrate anterograde and retrograde thalamic labeling Contrary to the prevailing belief that thalamocortical projections are entirely uncrossed our findings indicate that a modest crossed projection to prefrontal cortex arises from the mesial thalamus principally the anteromedial and midline nuclei Also while confirming that corticothalamic projections are bilateral we found that the pattern of crossed projections differs from that of uncrossed projections Projections to mesial thalamic nuclei specifically to the anteromedial nucleus the midline nuclei and the magnocellular part of the mediodorsal nucleus are bilateral the contralateral projection being nearly as dense as the ipsilateral projection Projections to the parvicellular part of the mediodorsal and ventral anterior nuclei are also bilateral but the contralateral projection is much weaker than the ipsilateral projection Prefrontal projections to the reticular nucleus medial pulvinar suprageniculate nucleus and limitans nucleus appear to be exclusively ipsilateral These results indicate that prefrontal cortex has prominent bilateral and reciprocal connections with the nuclei of the mesial thalamic region As this region of the diencephalon has been implicated by anatomical and behavioral studies in memory functions our findings suggest that prefrontal cortex through its connections with this region may be involved in the bilateral integration of mnemonic systems"	
53	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1093/cercor/bhn229"	19221145	"PMC2722424"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2722424/"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2722424/pdf/bhn229.pdf"	"Thalamocortical Connections of Parietal Somatosensory Cortical Fields in Macaque Monkeys are Highly Divergent and Convergent"	"We examined the organization and cortical projections of the somatosensory thalamus using multiunit microelectrode recording techniques in anesthetized monkeys combined with neuroanatomical tracings techniques and architectonic analysis Different portions of the hand representation in area b were injected with different anatomical tracers in the same animal or matched body part representations in parietal areas a b   and areas  and  were injected with different anatomical tracers in the same animal to directly compare their thalamocortical connections We found that the somatosensory thalamus is composed of several representations of cutaneous and deep receptors of the contralateral body These nuclei include the ventral posterior nucleus the ventral posterior superior nucleus the ventral posterior inferior nucleus and the ventral lateral nucleus Each nucleus projects to several different cortical fields and each cortical field receives projections from multiple thalamic nuclei In contrast to other sensory systems each of these somatosensory cortical fields is uniquely innervated by multiple thalamic nuclei These data indicate that multiple inputs are processed simultaneously within and across several hierarchically connected cortical fields"	"area ; area ; area ; posterior parietal cortex; topographic connections"
1001	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1523/jneurosci.18-11-04216.1998"	9592100	"PMC6792802"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6792802/"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6792802/pdf/ns004216.pdf"	"Extensive Divergence and Convergence in the Thalamocortical Projection to Monkey Somatosensory Cortex"	"This study examined the extent of thalamocortical divergence as a potential determinant of activity-dependent representational plasticity in area b of adult monkey somatosensory cortex Single or paired injections of anterogradely transported tracers of varying anteroposterior extent were made horizontally from behind in defined parts of the body representation in the ventral posterior lateral VPL andor ventral posterior medial VPM thalamic nuclei and the distribution and density of labeled thalamocortical terminations were mapped in cortex Injections of increasing size in any dimension of VPL or VPM resulted in increasing accumulation of labeled terminals within the region of projection implying extensive convergence of individual axons Anteroposteriorly elongated injections labeled mediolaterally extended but anteroposteriorly restricted zones in cortex Dorsoventral placement of an injection in VPL or VPM determined anteroposterior location of labeling in cortex Dual injections separated mediolaterally or dorsoventrally by  mm and in different parts of the thalamic body or headface representation gave rise to labeled thalamocortical terminations that overlapped extensively For injection sites at different anteroposterior levels in VPL or VPM the area of cortical convergence was related to their extent of anteroposterior coincidence Labeled terminations arising from injections in immediately adjacent parts of VPL and VPM did not overlap in cortex The extent of thalamocortical divergence and convergence revealed by these experiments is greater than that predictable from labeling of single axons and is sufficiently great to account for representational plasticity that exceeds the  mm cortical distance limit"	"ventral posterior nucleus; area b; cortical plasticity; somatotopic representation; Phaseolus vulgaris;leukoagglutinin; fluorescent dextrans"
89	"Y"	"Y"	"Y"	"Y"		"D/A"	"Both from SMA to Thalamus and from Pallidum and Cerebellum to thalamus"	"10.1007/s004290050204"	9924930		"https://link.springer.com/article/10.1007/s004290050204"	"https://link.springer.com/content/pdf/10.1007/s004290050204.pdf?pdf=button"	"Pallidal and cerebellar inputs to thalamocortical neurons projecting to the supplementary motor area in Macaca fuscata: a triple-labeling light microcopic study"	"We investigated the interrelationship between the supplementary motor area SMA thalamocortical projection neurons and the pallidothalamic and cerebellothalamic territories in the monkey Macaca fuscata using a combination of three tracers in a triple labeling paradigm Thalamic labeling was analyzed following injections of the anterograde tracers biotinylated dextran amine BDA into the internal segment of the globus pallidus GPi and wheat germ agglutinin conjugated to horseradish peroxidase WGA-HRP into the contralateral cerebellar interpositus and dentate nuclei In addition the retrograde tracer cholera toxin subunit B CTB was injected into the physiologically identified handarm representation of SMA The tissue was processed sequentially using different chromogens in order to visualize all three tracers in a single section We found that the SMA thalamocortical neurons occupied a wide band extending from the ventral anterior nucleus pars principalis VApc through the ventral lateral nucleus pars oralis VLo and the ventral lateral nucleus pars medialis VLm and into to the ventral lateral nucleus pars caudalis VLc including a portion of ventral posterior lateral nucleus pars oralis VPLo and nucleus X The heaviest CTB labeling was found in VLo with dense plexuses of BDA labeled pallidothalamic fibers and swellings often observed superimposed upon retrogradely labeled CTB cells In addition dense foci of cerebellothalamic WGA-HRP anterograde label were observed coinciding with the occasional retrogradely CTB labeled neurons in VLc and transitional zones between VApc VLo and VPLo Our light microscopic results suggest that the SMA receives thalamic inputs with afferents largely derived from GPi and minor inputs originating from the cerebellum"	"Key wordsMotor systems; Basal ganglia; Thalamus; Biotinylated dextran amine; WGA-HRP; Cholera toxin subunit B;"
76	"Y"	"Y"	"Y"	"Y"		"D/A"		"10.1111/j.1460-9568.2005.03921.x"	15787707		"https://onlinelibrary.wiley.com/doi/10.1111/j.1460-9568.2005.03921.x"	"https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1460-9568.2005.03921.x"	"Divergence and convergence of thalamocortical projections to premotor and supplementary motor cortex: a multiple tracing study in the macaque monkey"	"The premotor cortex of macaque monkeys is currently subdivided into at least six different subareas on the basis of structural hodological and physiological criteria To determine the degree of divergenceconvergence of thalamocortical projections to mesial supplementary motor area SMA-proper and pre-SMA and lateral PMd-c PMd-r PMv-c and PMv-r premotor PM subareas quantitative analyses were performed on the distribution of retrograde labelling after multiple tracer injections in the same animal The results demonstrate that all PM and SMA subareas receive common inputs from several thalamic nuclei but the relative contribution of these nuclei to thalamocortical projections differs The largest difference occurs between subareas of SMA with much greater contribution from the mediodorsal MD and area X and a smaller contribution from the ventral lateral anterior VLa and ventral part of the ventral lateral posterior VLpv to pre-SMA than to SMA-proper In PM differences between subareas are less pronounced in particular all receive a significant contribution from MD the ventral anterior VApc and area X However there are clear gradients such as increasing projections from MD to rostral from VLa and VLpv to caudal and from dorsal VLp VLpd to dorsal premotor subareas Intralaminar nuclei provide widespread projections to all premotor subareas The degree of overlap between thalamocortical projections varies among different PM and SMA subareas and different sectors of the thalamus These variations which correspond to different origin and topography of thalamocortical projections are discussed in relation to functional organizations at thalamic and cortical levels"	
