SOURCE,EXTERNAL_ID,PMCID,DOI,AUTHORS,PUBLICATION_YEAR,PUBLICATION_MONTH,TITLE,JOURNAL,VOLUME,ISSUE,PAGE_INFO,PUBLISHER,TIMES_CITED,GRANTS,OPEN_ACCESS,LICENSE,FIRST_PUB_DATE (dd/mm/yyyy),EMBARGO_DATE (dd/mm/yyyy),IN_EPMC,EPMC_AUTH_MAN
MED,37123374,PMC10133512,10.3389/fnins.2023.1163600,"Anticevic, Alan; Halassa, Michael M",2023,,The thalamus in psychosis spectrum disorder.,"Front Neurosci",17,"","1163600",,0,"",Y,cc by,2023-04-13,,Y,N
MED,37298594,PMC10254002,10.3390/ijms24119643,"Wang, Ting; Wang, Yu; Montero-Pedrazuela, Ana; Prensa, Lucía; Guadaño-Ferraz, Ana; Rausell, Estrella",2023,6,Thyroid Hormone Transporters MCT8 and OATP1C1 Are Expressed in Projection Neurons and Interneurons of Basal Ganglia and Motor Thalamus in the Adult Human and Macaque Brains.,"Int J Mol Sci",24,"11","9643",,0,"""The Sherman Foundation (Australia)"":""OTR02211"",""Asociación Corriendo con el Corazón por Hugo (Spain)"":""OTR06190"",""China Scholarship Council (China)"":""201808390005"",""Consejo Superior de Investigaciones Científicas (Spain)"":""2020AEP044"",""Ministerio de Ciencia e Innovación (Spain)"":""MCIN/AEI/10.13039/501100011033/FEDER; PID2020-113139RB-I00"",""Ministerio de Ciencia e Innovación (Spain)"":""MCIN/AEI/10.13039/501100011033; SAF2017-86342-R""",Y,cc by,2023-06-01,,Y,N
MED,37291094,PMC10250345,10.1038/s41467-023-38582-7,"Chen, Xinhong; Wolfe, Damien A; Bindu, Dhanesh Sivadasan; Zhang, Mengying; Taskin, Naz; Goertsen, David; Shay, Timothy F; Sullivan, Erin E; Huang, Sheng-Fu; Ravindra Kumar, Sripriya; Arokiaraj, Cynthia M; Plattner, Viktor M; Campos, Lillian J; Mich, John K; Monet, Deja; Ngo, Victoria; Ding, Xiaozhe; Omstead, Victoria; Weed, Natalie; Bishaw, Yeme; Gore, Bryan B; Lein, Ed S; Akrami, Athena; Miller, Cory; Levi, Boaz P; Keller, Annika; Ting, Jonathan T; Fox, Andrew S; Eroglu, Cagla; Gradinaru, Viviana",2023,6,Functional gene delivery to and across brain vasculature of systemic AAVs with endothelial-specific tropism in rodents and broad tropism in primates.,"Nat Commun",14,"1","3345",,0,"""Swiss National Science Foundation"":""188952"",""Swiss National Science Foundation"":""310030""",Y,cc by,2023-06-08,,Y,N
MED,35851953,PMC10087288,10.1113/jp282626,"Perry, Brook A L; Mendez, Juan Carlos; Mitchell, Anna S",2023,1,"Cortico-thalamocortical interactions for learning, memory and decision-making.","J Physiol",601,"1","25-35",,0,"""Wellcome Trust"":""110157/Z/15/Z""",Y,cc by,2022-08-14,,Y,N
MED,36622414,PMC10250521,10.1007/s00429-022-02598-4,"García-Cabezas, Miguel Ángel; Pérez-Santos, Isabel; Cavada, Carmen",2023,6,Mapping the primate thalamus: historical perspective and modern approaches for defining nuclei.,"Brain Struct Funct",228,"5","1125-1151",,0,"""Comunidad de Madrid"":""SI2/PBG/2020-00014"",""Ministerio de Ciencia, Innovación y Universidades"":""BEAGAL18/00098"",""Fundación Tatiana Pérez de Guzmán el Bueno"":""Chair in Neuroscience UAM""",Y,cc by,2023-01-09,,Y,N
MED,36890350,PMC10250273,10.1007/s00429-023-02619-w,"Pérez-Santos, Isabel; García-Cabezas, Miguel Ángel; Cavada, Carmen",2023,6,Mapping the primate thalamus: systematic approach to analyze the distribution of subcortical neuromodulatory afferents.,"Brain Struct Funct",228,"5","1153-1176",,1,"""Chair in Neuroscience UAM-Fundación Tatiana Pérez de Guzmán el Bueno"":""ID_NOT_SUPPLIED"",""Universidad Autónoma de Madrid"":""ID_NOT_SUPPLIED"",""Comunidad de Madrid, Spain"":""BEAGAL18/00098""",Y,cc by,2023-03-08,,Y,N
MED,34698418,PMC8764486,10.1002/hbm.25696,"Zhang, Jie; Zhou, Zhen; Li, Lingling; Ye, Jing; Shang, Desheng; Zhong, Shuchang; Yao, Bo; Xu, Cong; Yu, Yamei; He, Fangping; Ye, Xiangming; Luo, Benyan",2022,2,Cerebral perfusion mediated by thalamo-cortical functional connectivity in non-dominant thalamus affects naming ability in aphasia.,"Hum Brain Mapp",43,"3","940-954",,4,"""National Key Research and Development Program of China"":""2017YFC1308500"",""Natural Science Foundation of Zhejiang Province"":""LGF20H170011"",""National Natural Science Foundation of China"":""81902278""",Y,cc by-nc-nd,2021-10-26,,Y,N
MED,37139079,PMC10149680,10.3389/fncir.2023.1155195,"Murakami, Tomonari; Ohki, Kenichi",2023,,Thalamocortical circuits for the formation of hierarchical pathways in the mammalian visual cortex.,"Front Neural Circuits",17,"","1155195",,0,"",Y,cc by,2023-04-17,,Y,N
PPR,PPR596534,,10.1101/2023.01.12.523844,"Chen, Xinhong; Wolfe, Damien; Sivadasan Bindu, Dhanesh; Zhang, Mengying; Taskin, Naz; Goertsen, David; Shay, Timothy; Sullivan, Erin; Huang, Sheng-Fu; Ravindra Kumar, Sripriya; Arokiaraj, Cynthia; Plattner, Viktor; Campos, Lillian; Mich, John; Monet, Deja; Ngo, Victoria; Ding, Xiaozhe; Omstead, Victoria; Weed, Natalie; Bishaw, Yeme; Gore, Bryan; Lein, Ed; Akrami, Athena; Miller, Cory; Levi, Boaz; Keller, Annika; Ting, Jonathan; Fox, Andrew; Eroglu, Cagla; Gradinaru, Viviana",2023,,Functional gene delivery to and across brain vasculature of systemic AAVs with endothelial-specific tropism in rodents and broad tropism in primates,"",,"","",bioRxiv,0,"""Swiss National Science Foundation"":""188952"",""Swiss National Science Foundation"":""310030""",Y,cc by-nc-nd,2023-01-13,,Y,Y
MED,35147755,PMC9106894,10.1007/s00429-022-02463-4,"Spadory, Taylor; Duque, Alvaro; Selemon, Lynn D",2022,6,Spatial-temporal topography in neurogenesis of the macaque thalamus.,"Brain Struct Funct",227,"5","1673-1682",,1,"""National Institute of Mental Health"":""R01MH113257"",""NIMH NIH HHS"":""R01 MH113257"",""NIMH NIH HHS"":""R01MH113257""",N,,2022-02-11,2023-06-01,Y,N
MED,36271258,PMC9944689,10.1007/s00429-022-02586-8,"Giarrocco, Franco; Averbeck, Bruno B",2023,3,Anatomical organization of forebrain circuits in the primate.,"Brain Struct Funct",228,"2","393-411",,0,"""National Institute of Mental Health"":""ZIA MH002928"",""NIMH NIH HHS"":""ZIA MH002928""",Y,cc by,2022-10-21,,Y,N
MED,36861111,PMC9968756,10.3389/fnana.2023.1108363,"Rockland, Kathleen S",2023,,A brief sketch across multiscale and comparative neuroanatomical features.,"Front Neuroanat",17,"","1108363",,0,"",Y,cc by,2023-02-13,,Y,N
MED,35302854,PMC8932660,10.1126/sciadv.abl5547,"Tasserie, Jordy; Uhrig, Lynn; Sitt, Jacobo D; Manasova, Dragana; Dupont, Morgan; Dehaene, Stanislas; Jarraya, Béchir",2022,3,Deep brain stimulation of the thalamus restores signatures of consciousness in a nonhuman primate model.,"Sci Adv",8,"11","eabl5547",,10,"",Y,cc by,2022-03-18,,Y,N
MED,37360183,PMC10288156,10.3389/fnins.2023.1136500,"She, Hong-Qing; Sun, Yi-Fei; Chen, Li; Xiao, Qiu-Xia; Luo, Bo-Yan; Zhou, Hong-Su; Zhou, Di; Chang, Quan-Yuan; Xiong, Liu-Lin",2023,,Current analysis of hypoxic-ischemic encephalopathy research issues and future treatment modalities.,"Front Neurosci",17,"","1136500",,0,"",Y,cc by,2023-06-09,,Y,N
MED,36874640,PMC9978403,10.3389/fnins.2022.818800,"Hartig, Renée; Karimi, Ali; Evrard, Henry C",2022,,Interconnected sub-networks of the macaque monkey gustatory connectome.,"Front Neurosci",16,"","818800",,0,"",Y,cc by,2023-02-16,,Y,N
MED,36351826,PMC9665921,10.1523/jneurosci.1535-22.2022,"Yoshida, Junichi; Oñate, Maritza; Khatami, Leila; Vera, Jorge; Nadim, Farzan; Khodakhah, Kamran",2022,11,"Cerebellar Contributions to the Basal Ganglia Influence Motor Coordination, Reward Processing, and Movement Vigor.","J Neurosci",42,"45","8406-8415",,3,"""HHS | NIH | National Institute of Mental Health"":""R01MH115604"",""HHS | NIH | National Institute of Neurological Disorders and Stroke"":""R01NS079750"",""HHS | NIH | National Institute on Drug Abuse"":""R01DA044761""",N,cc by-nc-sa,2022-11-01,2023-05-09,Y,N
MED,35953294,PMC9480880,10.1523/jneurosci.0071-22.2022,"Borra, Elena; Biancheri, Dalila; Rizzo, Marianna; Leonardi, Fabio; Luppino, Giuseppe",2022,9,Crossed Corticostriatal Projections in the Macaque Brain.,"J Neurosci",42,"37","7060-7076",,0,"",N,,2022-08-11,2023-03-14,Y,N
MED,36068947,PMC10110443,10.1093/cercor/bhac337,"Vittek, Anne-Laure; Juan, Cécile; Nowak, Lionel G; Girard, Pascal; Cappe, Céline",2023,4,Multisensory integration in neurons of the medial pulvinar of macaque monkey.,"Cereb Cortex",33,"8","4202-4215",,0,"""French National Research Agency"":""ANR-16-CE37–0009-01""",Y,cc by-nc,2023-04-01,,Y,N
MED,36973276,PMC10042852,10.1038/s41531-023-00493-1,"Alanazi, Frhan I; Kalia, Suneil K; Hodaie, Mojgan; Lopez Rios, Adriana L; Lozano, Andrés M; Milosevic, Luka; Hutchison, William D",2023,3,Top-down control of human motor thalamic neuronal activity during the auditory oddball task.,"NPJ Parkinsons Dis",9,"1","46",,0,"",Y,cc by,2023-03-27,,Y,N
MED,36279428,PMC9636982,10.1073/pnas.2123417119,"Chen, Pin-Chun; Zhang, Jing; Thayer, Julian F; Mednick, Sara C",2022,11,Understanding the roles of central and autonomic activity during sleep in the improvement of working memory and episodic memory.,"Proc Natl Acad Sci U S A",119,"44","e2123417119",,3,"""NIA NIH HHS"":""R01 AG062288""",Y,cc by-nc-nd,2022-10-24,,Y,N
